,ID,0,1,2,3,4,5,C,X,LAST_STATUS,LAST_MONTH,COUNT_MONTHS,total_delay,C_RATING,CLIENT_TYPE,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,DAYS_BIRTH,DAYS_EMPLOYED,FLAG_MOBIL,FLAG_WORK_PHONE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,AGE,EMPLOYED
2860,5008827,2,8,2,1,1,5,19,0,C,0,38.0,14,DD,BAD,M,Y,Y,0.0,180000.0,Pensioner,Higher education,Married,House / apartment,-18772.0,365243.0,1.0,0.0,0.0,0.0,,2.0,51.0,N
2914,5008893,0,0,0,0,0,0,37,0,C,0,37.0,0,AA,GOOD,F,N,Y,0.0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519.0,-3234.0,1.0,0.0,0.0,0.0,Laborers,1.0,42.0,Y
2915,5008894,0,0,0,0,0,0,37,0,C,0,37.0,0,AA,GOOD,F,N,Y,0.0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519.0,-3234.0,1.0,0.0,0.0,0.0,Laborers,1.0,42.0,Y
2916,5008895,0,0,0,0,0,0,35,0,C,0,35.0,0,AA,GOOD,F,N,Y,0.0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519.0,-3234.0,1.0,0.0,0.0,0.0,Laborers,1.0,42.0,Y
2919,5008898,0,0,0,0,0,0,21,0,C,-11,21.0,0,AA,GOOD,F,N,Y,0.0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519.0,-3234.0,1.0,0.0,0.0,0.0,Laborers,1.0,42.0,Y
2921,5008900,0,0,0,0,0,0,21,0,C,-9,21.0,0,AA,GOOD,F,N,Y,0.0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519.0,-3234.0,1.0,0.0,0.0,0.0,Laborers,1.0,42.0,Y
2945,5008924,0,0,0,0,0,0,12,1,C,0,12.0,0,AA,GOOD,F,N,Y,0.0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519.0,-3234.0,1.0,0.0,0.0,0.0,Laborers,1.0,42.0,Y
2955,5008934,0,0,0,0,0,0,5,0,C,0,5.0,0,AA,GOOD,F,N,Y,0.0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519.0,-3234.0,1.0,0.0,0.0,0.0,Laborers,1.0,42.0,Y
2957,5008936,0,0,0,0,0,0,4,0,C,0,4.0,0,AA,GOOD,F,N,Y,0.0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519.0,-3234.0,1.0,0.0,0.0,0.0,Laborers,1.0,42.0,Y
2959,5008938,0,0,0,0,0,0,2,0,C,0,2.0,0,AA,GOOD,F,N,Y,0.0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519.0,-3234.0,1.0,0.0,0.0,0.0,Laborers,1.0,42.0,Y
