,ID,0,1,2,3,4,5,C,X,LAST_STATUS,LAST_MONTH,COUNT_MONTHS,total_delay,C_RATING
0,5001711,3,0,0,0,0,0,0,1,X,0,3.0,3,CC
1,5001712,10,0,0,0,0,0,9,0,C,0,19.0,10,BB
5,5001717,17,0,0,0,0,0,5,0,C,0,22.0,17,BB
6,5001718,24,2,0,0,0,0,3,10,C,0,29.0,26,CC
7,5001719,2,0,0,0,0,0,41,0,C,0,43.0,2,BB
8,5001720,29,7,0,0,0,0,0,0,1,0,36.0,36,CC
9,5001723,8,0,0,0,0,0,0,23,X,0,8.0,8,CC
10,5001724,0,0,0,0,0,0,22,9,C,0,22.0,0,AA
11,5001725,7,0,0,0,0,0,0,1,0,0,7.0,7,CC
12,5001726,6,0,0,0,0,0,33,0,C,0,39.0,6,BB
13,5001728,1,0,0,0,0,0,0,0,0,0,1.0,1,CC
14,5001729,6,0,0,0,0,0,1,0,C,0,7.0,6,CC
15,5001730,5,0,0,0,0,0,56,0,C,0,61.0,5,BB
19,5001734,3,0,0,0,0,0,0,0,0,0,3.0,3,CC
20,5001735,1,0,0,0,0,0,23,0,C,0,24.0,1,BB
21,5001736,4,0,0,0,0,0,20,0,C,0,24.0,4,BB
22,5001737,12,0,0,0,0,0,10,0,C,0,22.0,12,BB
23,5001738,12,0,0,0,0,0,32,0,C,0,44.0,12,BB
24,5001739,12,0,0,0,0,0,46,0,C,0,58.0,12,BB
25,5001742,10,0,0,0,0,0,36,1,C,0,46.0,10,BB
26,5001743,1,0,0,0,0,0,26,14,C,0,27.0,1,BB
27,5001744,5,0,0,0,0,0,24,0,C,0,29.0,5,BB
28,5001745,10,0,0,0,0,0,0,1,X,0,10.0,10,CC
29,5001746,11,0,0,0,0,0,0,1,X,0,11.0,11,CC
30,5001747,16,0,0,0,0,0,12,0,C,0,28.0,16,BB
31,5001748,6,0,0,0,0,0,28,0,C,0,34.0,6,BB
32,5001754,1,0,0,0,0,0,0,11,X,0,1.0,1,CC
33,5001755,5,0,0,0,0,0,6,0,C,0,11.0,5,BB
34,5001756,1,0,0,0,0,0,16,2,C,0,17.0,1,BB
35,5001757,13,1,0,0,0,0,0,7,0,0,14.0,14,CC
36,5001758,24,0,0,0,0,0,0,23,X,0,24.0,24,CC
37,5001759,15,0,0,0,0,0,4,1,C,0,19.0,15,BB
38,5001760,6,0,0,0,0,0,24,0,C,0,30.0,6,BB
39,5001765,6,0,0,0,0,0,26,0,C,0,32.0,6,BB
40,5001766,1,0,0,0,0,0,25,0,C,0,26.0,1,BB
41,5001767,2,0,0,0,0,0,0,13,X,0,2.0,2,CC
42,5001768,7,0,0,0,0,0,0,1,X,0,7.0,7,CC
43,5001769,11,0,0,0,0,0,0,6,X,0,11.0,11,CC
44,5001770,11,0,0,0,0,0,0,6,X,0,11.0,11,CC
45,5001771,14,0,0,0,0,0,0,1,X,0,14.0,14,CC
46,5001772,23,0,0,0,0,0,0,0,0,0,23.0,23,CC
47,5001773,17,0,0,0,0,0,7,0,C,0,24.0,17,BB
48,5001774,2,0,0,0,0,0,25,0,C,0,27.0,2,BB
49,5001775,3,0,0,0,0,0,30,0,C,0,33.0,3,BB
53,5001782,6,0,0,0,0,0,0,0,0,0,6.0,6,CC
54,5001783,14,0,0,0,0,0,0,6,0,0,14.0,14,CC
55,5001784,11,0,0,0,0,0,0,3,0,0,11.0,11,CC
56,5001785,6,0,0,0,0,0,0,8,0,0,6.0,6,CC
57,5001786,20,1,0,0,0,0,38,0,C,0,59.0,21,BB
60,5001789,0,0,0,0,0,0,22,11,C,0,22.0,0,AA
61,5001790,12,0,0,0,0,0,7,1,C,0,19.0,12,BB
62,5001791,22,0,0,0,0,0,0,2,X,0,22.0,22,CC
63,5001792,21,3,0,0,0,0,0,1,X,0,24.0,24,CC
64,5001793,20,7,0,0,0,0,0,0,1,0,27.0,27,CC
65,5001794,9,0,0,0,0,0,27,0,C,0,36.0,9,BB
68,5001798,4,0,0,0,0,0,52,2,C,0,56.0,4,BB
69,5001800,4,0,0,0,0,0,0,0,0,0,4.0,4,CC
71,5001804,6,0,0,0,0,0,4,0,C,0,10.0,6,BB
72,5001805,4,0,0,0,0,0,19,0,C,0,23.0,4,BB
73,5001806,12,0,0,0,0,0,23,0,C,0,35.0,12,BB
74,5001807,11,0,0,0,0,0,37,0,C,0,48.0,11,BB
75,5001808,12,0,0,0,0,0,45,0,C,0,57.0,12,BB
76,5001812,23,0,0,0,0,0,0,0,0,0,23.0,23,CC
78,5001816,10,1,0,0,0,0,0,1,1,0,11.0,11,CC
79,5001817,5,2,0,0,0,0,0,4,X,0,7.0,7,CC
80,5001818,6,0,0,0,0,0,48,4,C,0,54.0,6,BB
82,5001820,2,0,0,0,0,0,10,0,C,0,12.0,2,BB
83,5001821,3,0,0,0,0,0,0,6,X,0,3.0,3,CC
84,5001823,8,0,0,0,0,0,0,0,0,0,8.0,8,CC
85,5001824,37,0,0,0,0,0,0,0,0,-1,37.0,37,CC
86,5001825,3,0,0,0,0,0,0,1,X,0,3.0,3,CC
88,5001828,9,0,0,0,0,0,0,0,0,0,9.0,9,CC
89,5001829,14,0,0,0,0,0,0,14,X,0,14.0,14,CC
90,5001830,1,0,0,0,0,0,9,0,C,0,10.0,1,BB
91,5001831,23,0,0,0,0,0,0,0,0,0,23.0,23,CC
92,5001832,5,0,0,0,0,0,23,0,C,0,28.0,5,BB
93,5001833,4,0,0,0,0,0,29,0,C,0,33.0,4,BB
94,5001836,24,2,0,0,0,0,0,12,1,0,26.0,26,CC
95,5001837,14,0,0,0,0,0,44,0,C,0,58.0,14,BB
96,5001838,39,0,0,0,0,0,0,0,0,0,39.0,39,CC
97,5001839,9,0,0,0,0,0,7,0,C,0,16.0,9,BB
98,5001840,16,0,0,0,0,0,4,0,C,0,20.0,16,CC
99,5001841,2,0,0,0,0,0,16,0,C,0,18.0,2,BB
100,5001842,11,0,0,0,0,0,0,11,0,0,11.0,11,CC
101,5001843,6,0,0,0,0,0,19,3,C,0,25.0,6,BB
102,5001844,19,1,0,0,0,0,16,12,C,0,36.0,20,BB
103,5001846,10,0,0,0,0,0,0,6,X,0,10.0,10,CC
104,5001847,23,0,0,0,0,0,0,16,0,0,23.0,23,CC
105,5001848,31,1,0,0,0,0,0,6,0,0,32.0,32,CC
106,5001849,7,0,0,0,0,0,2,0,C,0,9.0,7,BB
107,5001850,10,0,0,0,0,0,1,0,C,0,11.0,10,CC
108,5001851,1,0,0,0,0,0,11,0,C,0,12.0,1,BB
109,5001852,2,0,0,0,0,0,13,0,C,0,15.0,2,BB
110,5001853,8,0,0,0,0,0,9,0,C,0,17.0,8,BB
111,5001854,3,0,0,0,0,0,16,0,C,0,19.0,3,BB
112,5001855,3,0,0,0,0,0,20,0,C,0,23.0,3,BB
113,5001856,2,1,0,0,0,0,27,0,C,0,30.0,3,BB
114,5001857,33,0,0,0,0,0,0,5,0,0,33.0,33,CC
115,5001858,12,0,0,0,0,0,20,0,C,0,32.0,12,BB
116,5001859,4,0,0,0,0,0,30,0,C,-1,34.0,4,BB
122,5001867,1,0,0,0,0,0,9,0,C,0,10.0,1,BB
125,5001872,1,0,0,0,0,0,0,0,0,0,1.0,1,CC
126,5001873,30,0,0,0,0,0,0,4,X,0,30.0,30,CC
127,5001874,26,0,0,0,0,0,0,4,X,0,26.0,26,CC
129,5001876,20,0,0,0,0,0,0,0,0,0,20.0,20,CC
130,5001877,16,0,0,0,0,0,0,0,0,0,16.0,16,CC
132,5001882,1,0,0,0,0,0,4,0,C,0,5.0,1,BB
133,5001883,10,0,0,0,0,0,42,0,C,0,52.0,10,BB
134,5001886,8,0,0,0,0,0,0,0,0,0,8.0,8,CC
135,5001887,2,0,0,0,0,0,0,0,0,0,2.0,2,CC
136,5001888,52,2,0,0,0,0,0,1,0,0,54.0,54,CC
137,5001889,41,0,0,0,0,0,0,0,0,0,41.0,41,CC
138,5001890,6,0,0,0,0,0,19,0,C,0,25.0,6,BB
139,5001891,9,0,0,0,0,0,42,1,C,0,51.0,9,BB
140,5001892,0,0,0,0,0,0,51,4,C,0,51.0,0,AA
141,5001893,3,0,0,0,0,0,0,12,X,0,3.0,3,CC
142,5001894,9,0,0,0,0,0,0,42,X,0,9.0,9,CC
143,5001895,6,0,0,0,0,0,27,1,C,0,33.0,6,BB
144,5001896,6,1,0,0,0,0,9,0,C,0,16.0,7,BB
145,5001897,3,0,0,0,0,0,0,1,0,0,3.0,3,CC
146,5001898,12,0,0,0,0,0,4,11,C,0,16.0,12,BB
147,5001899,3,0,0,0,0,0,0,39,X,0,3.0,3,CC
148,5001900,14,0,0,0,0,0,42,0,C,0,56.0,14,BB
149,5001901,6,0,0,0,0,0,29,8,C,0,35.0,6,BB
150,5001902,3,0,0,0,0,0,0,1,X,0,3.0,3,CC
151,5001904,1,0,0,0,0,0,0,50,X,0,1.0,1,CC
